participant_id,gender,ethnicity,country,age,age_prolific,age_diff,global_check,attention_check1_numeric,attention_check2_numeric,attention_check1,attention_check2,attention_check3,self_exclude,bot_check,completeness_check,age_check,completion_time_check,completion_time,desirability_poop,desirability_chocolate,classic_poop,classic_chocolate,original_poop,original_chocolate,classic_poop_pos_neg,classic_poop_pleasant_unpleasant,classic_poop_good_bad,classic_chocolate_pos_neg,classic_chocolate_pleasant_unpleasant,classic_chocolate_good_bad,original_poop_like,original_poop_attention_capturing,original_poop_unusual,original_poop_figure_out,original_poop_positive,original_poop_fixtated,original_poop_look_away,original_poop_focused,original_poop_negative,original_poop_disgusting,original_poop_appealing,original_poop_eye_catching,original_poop_attractive,original_poop_avoid_looking,original_chocolate_like,original_chocolate_attention_capturing,original_chocolate_unusual,original_chocolate_figure_out,original_chocolate_positive,original_chocolate_fixtated,original_chocolate_look_away,original_chocolate_focused,original_chocolate_negative,original_chocolate_disgusting,original_chocolate_appealing,original_chocolate_eye_catching,original_chocolate_attractive,original_chocolate_avoid_looking,pedophile,love,murder,vacation,racist,shrewd,honest,dishonest,mcdonalds,burgerking,conservatives,liberals,girls_skirts,boys_skirts,cats_legs,fish_legs
7cf73,male,White,United Kingdom,68,68,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,275,1,7,2.6666666666666665,7,2.5714285714285716,5.642857142857143,4,2,2,7,7,7,1,5,4,1,4,1,2,2,4,4,1,4,1,2,7,5,1,5,6,3,7,5,7,7,6,6,7,7,1,7,1,7,1,7,7,1,4,4,2,4,4,1,7,1
32f19,male,White,United Kingdom,26,26,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,307,1,7,1,7,1,6.285714285714286,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,5,7,7,7,5,7,7,7,7,7,7,1,7,1,7,1,3,7,3,5,5,1,7,6,3,7,2
b9524,female,White,United Kingdom,47,47,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,189,1,7,1.3333333333333333,7,1.0714285714285714,6.5,1,1,2,7,7,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,7,7,2,5,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,4,7,1,3,3,1,7,5,2,7,1
c0cb2,male,White,United States,31,31,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,231,1,6,1.3333333333333333,7,1.6428571428571428,5.285714285714286,1,1,2,7,7,7,1,1,6,1,1,1,1,1,3,2,1,1,1,2,7,5,1,2,6,4,7,5,7,7,6,5,5,7,1,7,2,6,2,3,6,2,5,5,5,3,7,1,7,1
16e44,female,White,United Kingdom,53,53,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,170,1,5,2,7,1.4285714285714286,4.714285714285714,2,2,2,7,7,7,1,1,1,1,1,1,1,1,4,4,1,1,1,1,5,4,1,4,5,2,6,4,7,7,5,4,5,7,1,7,1,7,1,5,7,1,6,2,4,4,4,2,7,1
68260,female,White,United Kingdom,38,38,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,241,3,6,2.3333333333333335,5.333333333333333,2.642857142857143,5.857142857142857,2,2,3,5,5,6,2,5,2,1,3,1,3,3,3,3,2,5,1,3,6,6,1,7,5,5,7,5,7,7,6,7,6,7,1,7,1,7,1,7,7,2,3,3,1,5,5,2,7,1
c7396,female,White,United Kingdom,31,31,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,246,2,7,4,6,2.2142857142857144,4.928571428571429,4,4,4,6,6,6,4,5,1,1,4,1,1,1,4,3,1,3,1,1,6,4,1,1,6,4,7,1,7,7,6,5,7,7,1,6,1,6,2,3,6,3,4,4,4,4,4,4,7,1
f84c4,female,White,United Kingdom,53,53,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,232,2,7,2.3333333333333335,6.333333333333333,3.4285714285714284,6.428571428571429,2,2,3,6,7,6,1,6,4,2,3,5,3,4,4,3,2,5,3,3,6,7,5,6,7,7,6,6,6,7,7,7,7,6,1,6,1,6,1,4,6,2,4,5,3,5,4,3,6,1
5876f,male,White,United Kingdom,54,54,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,395,1,6,2.6666666666666665,6,3,4.571428571428571,2,2,4,6,6,6,1,5,6,1,1,4,2,5,4,3,1,6,1,2,5,6,2,2,5,3,4,6,6,7,5,5,4,4,1,6,2,4,3,5,6,2,2,2,1,3,5,2,7,1
8b4a9,male,White,United Kingdom,69,69,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,180,1,7,1,7,2.2142857142857144,6.214285714285714,1,1,1,7,7,7,1,7,4,1,1,3,1,3,1,1,1,5,1,1,7,6,1,5,6,6,7,7,7,7,7,7,7,7,1,7,1,7,1,5,7,2,5,5,2,5,7,1,7,1
31061,female,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,251,1,6,1,6,2.4285714285714284,5.714285714285714,1,1,1,6,6,6,1,7,1,1,1,1,7,1,7,1,1,3,1,1,6,7,3,5,6,5,5,6,6,6,6,7,6,6,1,7,2,6,1,7,7,1,6,6,6,6,6,2,7,1
0f596,female,White,United Kingdom,41,41,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,216,1,6,1.3333333333333333,7,2.142857142857143,5.214285714285714,1,1,2,7,7,7,1,5,7,1,1,1,2,1,1,1,1,6,1,1,6,4,1,2,6,3,6,6,7,7,7,5,6,7,1,7,1,5,1,5,7,1,4,4,1,6,4,4,7,1
7653f,female,Mixed,United Kingdom,37,37,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,421,1,7,2,6.666666666666667,2.4285714285714284,5.714285714285714,2,1,3,6,7,7,1,5,5,2,2,6,2,3,2,1,1,2,1,1,7,6,1,2,6,5,7,6,7,7,6,6,7,7,1,6,1,6,1,5,7,2,6,6,5,5,6,1,7,1
fc91c,male,White,United Kingdom,60,60,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,169,1,6,3.6666666666666665,4.666666666666667,3.357142857142857,4.714285714285714,3,4,4,5,6,3,3,2,1,1,4,1,7,4,7,6,2,1,1,7,5,6,2,2,4,3,6,3,4,7,6,6,6,6,1,7,1,6,1,5,7,1,4,3,6,2,7,1,7,1
f3aad,female,White,United Kingdom,30,30,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,157,1,7,2,7,1.5714285714285714,5.857142857142857,2,1,3,7,7,7,1,3,1,1,1,1,1,5,2,1,1,2,1,1,7,6,1,5,6,5,6,6,7,7,7,6,6,7,1,7,1,6,1,2,6,2,6,6,1,5,6,2,7,1
6b2eb,male,White,United Kingdom,63,63,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,257,1,7,1,7,2.0714285714285716,6.285714285714286,1,1,1,7,7,7,1,6,5,2,1,1,1,1,1,1,1,6,1,1,7,6,1,6,7,5,7,7,7,7,7,7,7,7,1,6,1,7,1,5,6,2,5,4,3,3,5,2,7,1
a3b0b,male,Asian,United Kingdom,34,34,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,371,1,7,1,6.333333333333333,1.2857142857142858,4.785714285714286,1,1,1,6,6,7,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,6,1,2,5,3,3,4,7,7,6,6,5,7,1,7,1,6,1,6,7,1,6,5,3,4,4,3,6,1
a35d5,male,White,United Kingdom,31,31,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,439,1,6,1.6666666666666667,6.666666666666667,2,5.785714285714286,2,1,2,7,6,7,1,3,2,1,1,2,1,2,6,3,1,2,1,2,6,5,2,4,7,5,7,5,7,7,6,7,6,7,1,7,1,6,1,2,6,1,6,4,1,5,5,2,7,1
735d5,female,White,United Kingdom,50,50,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,285,1,7,3.3333333333333335,7,2.4285714285714284,6.142857142857143,4,2,4,7,7,7,1,6,1,1,1,1,2,3,4,3,1,6,1,3,7,7,1,4,7,5,7,6,7,7,7,7,7,7,1,7,1,7,1,1,7,1,6,3,2,4,6,1,7,1
aeb75,female,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,465,1,7,1.3333333333333333,7,2.7142857142857144,5.857142857142857,1,1,2,7,7,7,1,6,5,5,1,3,2,2,2,1,1,6,1,2,7,5,3,5,7,3,7,5,7,7,7,6,6,7,1,7,1,7,1,3,7,2,7,7,2,2,6,1,7,1
0c17b,male,White,United Kingdom,54,54,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,196,1,7,1.6666666666666667,7,2.2857142857142856,5.857142857142857,1,1,3,7,7,7,1,7,3,2,2,1,1,1,3,1,1,7,1,1,7,6,3,5,6,3,7,6,6,7,7,6,6,7,1,7,1,7,1,4,7,1,4,5,1,3,5,2,7,1
08a8f,female,White,United Kingdom,24,25,-1,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,818,1,7,1,7,1.2142857142857142,6.142857142857143,1,1,1,7,7,7,1,4,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,4,7,7,7,7,7,7,5,6,7,7,1,7,1,7,4,1,7,1,6,6,1,1,5,1,7,1
58204,female,White,United Kingdom,32,32,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,178,1,7,1,6.666666666666667,1,5.142857142857143,1,1,1,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,1,4,6,5,7,5,6,7,6,4,4,6,1,7,1,7,1,6,6,1,6,6,4,1,5,2,7,1
a536b,female,White,United Kingdom,39,39,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,325,1,6,1,6.666666666666667,2,6.285714285714286,1,1,1,7,6,7,1,3,2,1,1,3,1,4,3,1,1,5,1,1,7,6,1,6,7,6,7,7,7,7,7,6,7,7,1,7,1,7,1,3,6,2,4,3,2,2,4,1,7,1
fb8fc,male,White,United States,57,57,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,316,1,7,2.3333333333333335,7,1.9285714285714286,5.928571428571429,2,1,4,7,7,7,1,2,5,2,1,3,2,2,3,2,1,1,1,1,6,5,4,5,5,5,7,6,7,7,6,7,6,7,1,6,1,6,1,5,7,1,3,3,2,5,7,1,7,1
74e27,female,Black,United States,47,47,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,246,1,7,1.3333333333333333,6.666666666666667,2.5714285714285716,5.571428571428571,1,1,2,7,6,7,1,3,3,1,4,1,2,3,6,7,1,2,1,1,7,6,1,4,6,4,7,5,7,7,6,5,6,7,1,7,1,5,1,2,4,2,5,6,3,5,5,2,5,1
96497,male,White,United Kingdom,48,48,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,163,1,7,3,6.333333333333333,3.2857142857142856,5.285714285714286,4,1,4,6,7,6,1,6,2,4,4,2,3,5,4,4,2,3,2,4,5,6,1,4,4,5,7,6,7,7,5,5,5,7,1,7,1,6,1,4,6,2,3,3,6,3,5,3,7,1
32ba4,male,White,United Kingdom,60,60,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,215,1,6,2,5.666666666666667,2.0714285714285716,5.5,1,1,4,6,6,5,1,7,4,1,1,2,1,1,2,1,1,5,1,1,5,5,3,5,6,5,7,5,7,7,5,5,5,7,1,6,1,6,2,4,6,2,5,5,4,4,5,3,7,1
b5002,male,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,202,1,6,2,5.666666666666667,1.8571428571428572,4.428571428571429,2,1,3,5,6,6,1,1,1,1,1,1,1,2,6,7,1,1,1,1,6,3,1,1,4,2,7,4,6,7,5,4,5,7,1,6,1,6,1,5,7,1,3,3,4,4,5,1,7,1
421d1,male,White,United Kingdom,64,64,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,291,1,7,1,7,1.4285714285714286,6,1,1,1,7,7,7,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,7,1,4,7,4,7,5,7,7,7,7,7,7,1,7,1,7,1,4,7,1,4,4,1,7,7,1,7,1
77f01,male,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,276,1,7,1,7,1.2857142857142858,5.642857142857143,1,1,1,7,7,7,1,4,1,1,1,1,1,1,1,1,1,2,1,1,7,7,1,4,7,4,7,3,7,7,6,6,6,7,1,7,1,7,1,5,6,1,4,5,7,1,4,1,7,1
38407,female,White,United Kingdom,37,37,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,195,1,6,2,6.333333333333333,1.9285714285714286,4.642857142857143,1,1,4,7,7,5,1,4,5,1,1,1,1,4,2,2,1,1,1,2,5,4,1,4,5,4,6,4,5,7,6,4,5,5,1,7,1,7,1,2,7,1,5,5,5,3,6,2,7,1
ac8cd,female,White,United Kingdom,39,39,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,167,1,7,1,6.666666666666667,1.7142857142857142,4.642857142857143,1,1,1,6,7,7,1,5,1,1,1,1,1,1,3,1,1,5,1,1,7,5,2,2,5,2,4,3,7,7,5,3,6,7,1,7,1,7,1,4,4,2,6,5,4,4,6,5,7,1
b0a63,female,White,United Kingdom,43,43,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,1567,1,7,1,7,2,6.142857142857143,1,1,1,7,7,7,1,7,3,3,1,1,1,1,1,1,1,5,1,1,7,5,2,4,7,6,7,6,7,7,7,7,7,7,1,7,1,7,1,4,6,2,5,4,5,4,5,3,7,1
3b894,female,White,United Kingdom,31,31,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,317,1,7,1.3333333333333333,7,1.6428571428571428,5.714285714285714,1,1,2,7,7,7,1,3,5,1,2,1,1,1,2,1,1,2,1,1,7,5,2,4,6,5,7,5,7,7,7,5,6,7,1,7,1,7,1,2,7,2,6,6,3,5,5,2,7,1
0d538,female,White,United Kingdom,70,70,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,273,1,7,1,7,2.0714285714285716,6.357142857142857,1,1,1,7,7,7,1,7,4,4,1,1,1,4,1,1,1,1,1,1,7,7,1,4,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,7,7,1,5,1,1,4,6,1,7,1
313c2,female,White,United Kingdom,48,60,-12,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,390,1,7,1,7,1.3571428571428572,5.428571428571429,1,1,1,7,7,7,1,6,1,1,1,1,1,1,1,1,1,1,1,1,7,6,1,2,6,3,7,5,7,7,6,6,6,7,1,6,1,7,1,2,6,1,2,5,7,1,7,1,7,1
b4d5a,male,White,United States,37,37,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,381,2,4,4,4,3.2142857142857144,3.857142857142857,4,4,4,4,4,4,1,2,1,1,4,2,6,3,6,6,2,3,2,6,3,3,2,2,4,3,5,3,4,7,4,4,6,4,1,7,1,4,1,2,7,2,4,4,4,4,4,4,7,1
0b923,female,White,United Kingdom,30,30,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,271,1,6,3,6,2.857142857142857,4.357142857142857,4,1,4,6,7,5,4,5,1,2,4,3,2,3,4,2,2,5,1,2,5,5,1,3,5,1,7,2,6,7,5,3,4,7,1,5,2,6,1,5,6,2,5,2,2,5,3,2,2,2
2dccc,female,White,United Kingdom,30,30,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,144,1,7,1.3333333333333333,7,1.7142857142857142,5.785714285714286,1,1,2,7,7,7,1,6,1,1,1,2,1,3,1,1,1,3,1,1,7,5,1,2,7,5,7,6,7,7,7,6,7,7,1,7,1,7,1,2,7,1,6,5,2,5,5,2,7,1
1c9d1,female,White,United Kingdom,49,49,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,218,1,7,2,7,1.1428571428571428,6.285714285714286,1,1,4,7,7,7,1,1,1,1,1,1,1,1,1,2,1,1,1,2,7,7,3,6,7,6,7,6,7,7,7,5,6,7,1,7,1,6,1,4,7,2,5,2,4,4,2,2,7,1
9ad2f,male,White,United Kingdom,35,35,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,284,1,6,1,6,2.357142857142857,4.857142857142857,1,1,1,6,6,6,1,5,7,1,1,2,2,4,2,1,1,3,1,2,5,4,2,4,5,4,6,4,6,7,6,4,5,6,1,7,1,6,1,5,7,2,2,2,3,2,6,2,7,1
1d308,male,White,United Kingdom,54,54,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,361,1,7,1,7,2.142857142857143,6.5,1,1,1,7,7,7,1,5,3,1,1,1,1,1,7,1,1,5,1,1,7,7,1,7,7,6,7,7,7,7,7,7,7,7,1,7,1,7,1,4,7,2,5,5,1,5,7,1,7,1
fd55a,female,White,United States,42,42,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,162,1,7,1,7,1.6428571428571428,5.357142857142857,1,1,1,7,7,7,1,7,4,1,1,1,1,1,1,1,1,1,1,1,7,6,1,1,7,4,7,4,7,7,6,6,5,7,1,7,1,7,1,2,6,2,4,4,5,3,5,2,6,1
d6be5,male,White,United States,60,60,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,267,1,7,1.6666666666666667,7,3.142857142857143,5.285714285714286,2,1,2,7,7,7,1,5,3,2,3,2,3,2,5,6,1,3,2,6,6,5,2,5,6,3,6,4,6,6,6,6,6,7,1,7,1,7,1,3,6,1,4,4,4,3,6,2,7,1
5cc2a,female,White,United Kingdom,59,59,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,279,4,6,4,6,2.7142857142857144,4.714285714285714,4,4,4,6,6,6,3,3,3,2,4,1,3,2,4,4,2,2,2,3,5,5,2,2,5,2,7,4,7,7,1,6,6,7,1,7,1,7,1,5,7,1,1,1,2,5,5,2,7,1
c390e,female,White,United Kingdom,63,63,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,424,1,7,1,7,2.0714285714285716,5.571428571428571,1,1,1,7,7,7,2,3,3,1,1,1,5,1,2,2,2,2,1,3,7,7,2,1,7,3,7,5,7,7,7,5,6,7,1,7,1,7,1,7,7,1,6,5,5,2,2,1,7,1
da775,female,White,United Kingdom,66,66,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,700,1,7,1.3333333333333333,7,3,6.428571428571429,1,1,2,7,7,7,1,5,7,1,1,2,5,2,2,2,1,7,1,5,7,7,1,6,7,6,7,7,7,7,7,7,7,7,1,7,1,7,2,7,7,1,6,3,6,2,5,2,7,1
e5a57,female,White,United Kingdom,28,28,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,203,1,7,1,7,1.8571428571428572,5.5,1,1,1,7,7,7,1,7,6,1,1,1,1,1,1,1,1,2,1,1,7,6,2,1,6,5,7,3,7,7,7,6,6,7,1,7,1,7,1,1,7,1,6,5,4,4,7,1,7,1
219a4,female,White,United Kingdom,42,42,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,368,1,7,3,7,2.857142857142857,6,3,3,3,7,7,7,1,5,2,1,2,2,2,4,5,5,2,5,2,2,7,6,5,5,6,5,6,6,7,7,6,6,6,6,1,7,1,7,2,6,6,2,3,3,3,3,6,2,7,1
db09a,male,White,United Kingdom,62,62,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,342,2,6,2,5.666666666666667,1.2857142857142858,4.857142857142857,3,1,2,6,6,5,1,1,4,1,1,1,2,1,1,1,1,1,1,1,7,4,2,2,5,4,5,3,6,6,6,5,6,7,1,7,1,7,2,6,7,2,2,2,1,2,6,1,7,1
724af,male,Black,United Kingdom,49,49,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,297,1,7,1,7,1.8571428571428572,5.928571428571429,1,1,1,7,7,7,1,6,1,1,1,1,1,3,1,1,1,6,1,1,7,7,1,1,7,6,7,7,7,7,7,6,6,7,4,6,1,7,1,6,6,2,7,7,1,5,6,1,7,1
ca9cb,female,White,United States,60,60,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,159,2,7,1.6666666666666667,6.666666666666667,2.642857142857143,5.428571428571429,2,1,2,7,7,6,2,6,5,2,1,2,2,2,2,2,1,6,2,2,7,6,3,2,6,4,7,5,6,7,6,5,5,7,1,6,1,5,3,4,5,3,3,3,3,5,2,1,6,1
54d4b,female,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,243,1,7,2.3333333333333335,6.666666666666667,2,5.785714285714286,4,1,2,6,7,7,1,6,2,1,1,1,1,2,7,1,1,2,1,1,7,5,2,2,6,5,7,6,7,7,7,6,7,7,1,7,1,7,1,4,5,3,4,4,4,4,6,2,7,1
666b8,female,White,United Kingdom,37,37,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,661,1,7,1,7,1,6.142857142857143,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,4,7,6,6,6,7,7,7,7,7,7,1,7,1,7,1,4,7,1,3,3,2,5,5,3,7,2
7913c,female,White,United Kingdom,24,25,-1,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,437,2,7,2.3333333333333335,6.333333333333333,1.9285714285714286,5.428571428571429,4,1,2,6,7,6,1,4,5,1,1,2,2,2,3,2,1,1,1,1,6,6,2,4,5,3,7,5,7,7,6,5,6,7,1,7,1,6,1,1,7,1,5,5,4,4,4,1,7,1
53544,male,White,United Kingdom,28,28,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,162,1,7,1,6.333333333333333,2.142857142857143,5.5,1,1,1,6,7,6,1,3,6,5,1,3,1,3,1,1,1,2,1,1,6,5,2,3,7,5,6,6,6,6,7,5,6,7,1,7,1,7,1,2,7,1,7,7,1,5,6,3,7,1
a8efb,female,White,United States,64,64,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,257,1,7,1,7,1,6.142857142857143,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,4,7,1,7,7,1,4,7,4,7,1
b3da4,male,White,United Kingdom,31,31,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,316,1,6,1.3333333333333333,6.666666666666667,2.0714285714285716,5,2,1,1,7,7,6,1,5,3,1,1,1,3,3,2,2,1,3,1,2,6,5,2,3,5,3,6,5,7,7,5,4,5,7,1,6,1,7,2,5,5,3,3,2,3,5,6,2,7,1
b153e,female,White,United Kingdom,59,59,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,345,1,7,2.3333333333333335,7,2.7857142857142856,5.571428571428571,2,2,3,7,7,7,1,5,3,4,1,3,3,3,3,3,1,5,1,3,6,6,1,1,6,4,7,5,7,7,7,7,7,7,1,7,1,7,1,5,7,1,5,5,4,4,5,3,7,1
ad1bc,male,White,United States,74,74,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,338,1,7,2,7,2.357142857142857,6.142857142857143,1,1,4,7,7,7,1,4,5,3,1,4,3,4,1,1,1,2,1,2,7,7,5,5,6,4,7,5,7,7,7,6,6,7,2,7,1,5,2,4,7,1,3,3,4,2,7,1,7,1
643fa,male,White,United Kingdom,64,64,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,232,2,6,2.3333333333333335,5.666666666666667,2.7142857142857144,4.714285714285714,1,2,4,6,6,5,2,1,1,1,4,1,7,4,4,4,1,1,1,6,6,5,1,1,5,1,7,4,7,7,5,5,5,7,1,7,1,6,1,6,7,1,3,3,1,6,6,1,7,1
e7903,female,White,United Kingdom,32,32,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,248,1,7,1,7,1.4285714285714286,4.714285714285714,1,1,1,7,7,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,5,4,2,3,6,3,4,4,6,7,6,5,5,6,1,7,1,7,1,7,7,4,2,2,2,6,3,1,7,1
7188f,male,White,United Kingdom,68,68,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,239,1,7,1,7,2.357142857142857,5.785714285714286,1,1,1,7,7,7,1,6,7,1,1,1,1,5,1,1,1,5,1,1,7,5,2,2,7,5,7,5,7,7,7,6,7,7,1,7,1,7,1,5,7,1,5,1,5,2,4,1,5,1
7a464,female,White,United Kingdom,24,24,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,355,1,5,1,4,3.142857142857143,4.5,1,1,1,5,4,3,1,6,5,1,1,3,7,1,6,7,1,3,1,1,5,4,1,4,5,5,5,4,3,6,5,5,5,6,1,7,1,7,1,2,6,2,4,4,2,5,5,2,7,1
ab22a,female,White,United Kingdom,54,54,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,192,1,7,1,7,1,5.571428571428571,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,1,1,5,5,7,4,7,7,7,7,7,7,1,7,1,7,1,1,7,1,5,5,4,4,6,1,7,1
7c5df,female,White,United Kingdom,62,62,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,364,1,6,1,7,2,5.714285714285714,1,1,1,7,7,7,1,6,5,1,1,1,1,2,1,1,1,5,1,1,6,7,1,5,6,5,7,5,7,7,6,5,6,7,1,7,1,7,1,5,7,1,4,4,1,4,6,2,7,1
caaeb,male,White,United Kingdom,67,67,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,288,1,6,1,6.333333333333333,1.7142857142857142,5.571428571428571,1,1,1,6,7,6,1,5,2,1,1,1,1,3,1,1,1,4,1,1,6,5,1,4,7,4,7,6,7,7,6,5,6,7,1,7,1,7,2,4,6,2,5,3,1,1,6,1,7,1
8f46d,female,White,United Kingdom,41,41,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,323,1,6,1,6.333333333333333,3.142857142857143,4.642857142857143,1,1,1,6,7,6,1,6,1,5,1,5,2,5,2,2,1,5,5,3,6,2,2,2,6,3,7,2,6,7,6,4,5,7,1,7,2,7,2,6,7,3,5,5,5,4,4,3,6,2
db35b,female,Mixed,United Kingdom,31,31,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,572,1,6,3.6666666666666665,5,2,5.428571428571429,4,3,4,5,6,4,1,4,1,1,4,1,1,1,7,3,1,1,1,1,7,5,1,5,6,5,7,4,7,7,5,5,5,7,1,7,1,7,1,4,7,1,1,5,1,7,7,7,7,1
70b76,male,White,United Kingdom,36,36,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,242,1,7,1,6.333333333333333,1.2142857142857142,5.5,1,1,1,6,7,6,1,2,1,1,1,1,1,1,3,1,1,1,1,1,7,5,1,1,5,5,7,6,6,7,7,7,6,7,1,7,1,7,1,6,7,1,4,4,3,5,7,2,7,1
66cb1,female,White,United Kingdom,51,51,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,175,1,6,2.3333333333333335,6,2.7142857142857144,5.785714285714286,3,2,2,6,6,6,2,6,2,3,2,2,2,4,3,2,1,5,1,3,7,5,3,4,6,5,7,5,7,7,7,5,6,7,1,7,1,7,1,6,7,1,2,2,1,6,7,2,7,1
31556,male,White,United Kingdom,40,40,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,220,4,6,4,6.333333333333333,2.857142857142857,4.714285714285714,4,4,4,6,7,6,2,7,1,1,4,1,3,1,7,7,1,1,1,3,6,5,1,2,5,1,7,1,7,7,5,6,6,7,1,7,1,6,1,2,7,1,1,1,3,5,2,1,7,1
