StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,age,gender,cp1,cp2,cp3,cc1,cc2,attention check 1 ,cc3,Q33,Q34,Q35,Q36,Q37,9cp1 ,9cp2,9cp3,9cc1,9cc2,attention check 1,9cc3,Q47,Q48,Q49,Q50,Q51,Q30,bot check,screen_width,screen_height,touch_points,pixel_ratio,platform,actualDevice,DeviceIdentifier,UserAgent,scale
19.11.2025 02:26,19.11.2025 02:42,100,933,TRUE,19.11.2025 02:42,R_2dRDLkXvTmouZjX,20,female,,,,,,,,,,,,,Somewhat negative,Somewhat unpleasant,Slightly bad,Very positive,Very pleasant,Very bad,Very good,Very positive,Very negative,Very positive,Strongly agree,Neutral,"Yes, include my data",,1440,852,10,2,Win32,Tablet,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",9_point
19.11.2025 03:06,19.11.2025 03:32,100,1592,TRUE,19.11.2025 03:32,R_2kO4lGG5Td2EJdY,21,female,,,,,,,,,,,,,Slightly negative,Somewhat unpleasant,Neutral,Slightly positive,Pleasant,Very bad,Somewhat good,Positive,Very negative,Very positive,Strongly agree,Neutral,"Yes, include my data",,1194,834,5,2,MacIntel,Tablet,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",9_point
18.11.2025 05:17,18.11.2025 05:27,65,581,FALSE,19.11.2025 05:27,R_8mDOjlxYaS7rqbD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,912,10,2,Win32,Tablet,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",
18.11.2025 05:27,18.11.2025 05:30,65,206,FALSE,19.11.2025 05:30,R_2OHB9c5ruj5d4ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,912,10,2,Win32,Tablet,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",
19.11.2025 06:58,19.11.2025 07:28,100,1777,TRUE,19.11.2025 07:28,R_85KFgjhqWqQB1zA,22,female ,Negative,Unpleasant,Neutral,Neutral,Pleasant,Very unpleasant,Neutral,Very positive,Very negative,Very positive,Strongly agree,Neutral,,,,,,,,,,,,,"Yes, include my data",,1440,788,0,1,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",5_point
19.11.2025 08:08,19.11.2025 08:09,100,30,TRUE,19.11.2025 08:09,R_81ifk92zxNKwjIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,752,10,1.5,Win32,Phone,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",
19.11.2025 09:38,19.11.2025 09:53,100,938,TRUE,19.11.2025 09:53,R_8lABKeoYwCzdcwz,20,Female,,,,,,,,,,,,,Somewhat negative,Unpleasant,Slightly bad,Positive,Very pleasant,Very bad,Good,Positive,Very negative,Very positive,Strongly agree,Neutral,"Yes, include my data",,1707,912,10,2.25,Win32,Tablet,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",9_point
19.11.2025 10:57,19.11.2025 10:58,100,39,TRUE,19.11.2025 10:58,R_8ZIbfbDWpbMOZxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,1180,5,2,MacIntel,Tablet,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",
19.11.2025 11:13,19.11.2025 11:33,100,1237,TRUE,19.11.2025 11:33,R_2v8qOz3UOk0IwCh,21,female,Neutral,Unpleasant,Neutral,Very positive,Very pleasant,Very unpleasant,Very good,Very positive,Very negative,Very positive,Strongly agree,Neutral,,,,,,,,,,,,,"Yes, include my data",,1368,864,10,2,Win32,Tablet,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",5_point
19.11.2025 12:23,19.11.2025 12:24,100,69,TRUE,19.11.2025 12:24,R_8JgZGNr6agKN4f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,672,10,1.5,Win32,Phone,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",
20.11.2025 01:51,20.11.2025 01:52,100,65,TRUE,20.11.2025 01:52,R_8haNEW8M4qGKNEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,752,10,1.5,Win32,Phone,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",
19.11.2025 02:31,19.11.2025 02:31,1,22,FALSE,20.11.2025 02:31,R_8ykfalYdCFcRb6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,900,0,1,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",
19.11.2025 02:34,19.11.2025 02:35,1,57,FALSE,20.11.2025 02:35,R_2Eb4PX7jQkFlwuR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,900,0,1,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",
20.11.2025 02:06,20.11.2025 02:42,100,2199,TRUE,20.11.2025 02:42,R_2GDGPAEVz8sY313,21,female,,,,,,,,,,,,,Somewhat negative,Very unpleasant,Bad,Very positive,Very pleasant,Very bad,Very good,Very positive,Very negative,Very positive,Strongly agree,Neutral,"Yes, include my data",,1920,1032,10,1,Win32,Tablet,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",9_point
20.11.2025 02:47,20.11.2025 03:01,100,844,TRUE,20.11.2025 03:01,R_2DIJ4Wj00jxMcYy,22,Female,Very negative,Very unpleasant,Very bad,Very positive,Very pleasant,Very unpleasant,Very good,Very positive,Very negative,Very positive,Strongly agree,Strongly disagree,,,,,,,,,,,,,"Yes, include my data",,1440,900,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",5_point
20.11.2025 03:35,20.11.2025 04:07,100,1926,TRUE,20.11.2025 04:07,R_8i4Hz4wENg2ZmA9,21,female,Very negative,Very unpleasant,Bad,Positive,Pleasant,Very pleasant,Very good,Very positive,Very negative,Very positive,Strongly agree,Neutral,,,,,,,,,,,,,"Yes, include my data",,1440,900,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",5_point
20.11.2025 04:35,20.11.2025 04:58,100,1363,TRUE,20.11.2025 04:58,R_2P66aT34gDHa7UE,23,female,,,,,,,,,,,,,Somewhat negative,Unpleasant,Neutral,Positive,Pleasant,Very bad,Good,Positive,Very negative,Very positive,Agree,Neutral,"Yes, include my data",,1440,869,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",9_point
20.11.2025 05:04,20.11.2025 05:06,100,139,TRUE,20.11.2025 05:06,R_2x3Fr1bgjPfEyRz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,1006,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",
20.11.2025 05:31,20.11.2025 05:32,100,41,TRUE,20.11.2025 05:32,R_2nPEN5jSTMKonFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,672,10,1.5,Win32,Phone,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",
20.11.2025 05:31,20.11.2025 05:52,100,1275,TRUE,20.11.2025 05:52,R_2SPfT98cP90L0L7,20,female,Negative,Very unpleasant,Bad,Positive,Very pleasant,Very unpleasant,Good,Positive,Very negative,Very positive,Agree,Neutral,,,,,,,,,,,,,"Yes, include my data",,1440,912,10,2,Win32,Tablet,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,5_point
20.11.2025 05:33,20.11.2025 05:55,100,1365,TRUE,20.11.2025 05:55,R_8hzeFl8MzY1dvlR,22,female,,,,,,,,,,,,,Negative,Very unpleasant,Bad,Positive,Very pleasant,Very bad,Very good,Very positive,Very negative,Very positive,Strongly agree,Neutral,"Yes, include my data",,1470,769,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",9_point
20.11.2025 05:38,20.11.2025 06:48,100,4196,TRUE,20.11.2025 06:48,R_8PASPi7qiFfOBBr,21,female,,,,,,,,,,,,,Somewhat negative,Very unpleasant,Bad,Somewhat positive,Pleasant,Very bad,Good,Very positive,Very negative,Very positive,Strongly agree,Neutral,"Yes, include my data",,1646,981,10,1.75,Win32,Tablet,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",9_point
20.11.2025 07:30,20.11.2025 07:39,100,542,TRUE,20.11.2025 07:39,R_8iljEE2PsnCaajk,22,female,Negative,Very unpleasant,Bad,Positive,Pleasant,Very pleasant,Neutral,Very positive,Very negative,Very positive,Disagree,Neutral,,,,,,,,,,,,,"Yes, include my data",,1470,922,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",5_point
20.11.2025 08:20,20.11.2025 08:20,100,27,TRUE,20.11.2025 08:20,R_2QFLzxsHqD9TULz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,828,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Safari/605.1.15",
20.11.2025 08:03,20.11.2025 08:31,100,1665,TRUE,20.11.2025 08:31,R_89gL2BM89oi7aM1,22,female,Very negative,Very unpleasant,Very bad,Positive,Pleasant,Very unpleasant,Good,Very positive,Very negative,Very positive,Strongly agree,Agree,,,,,,,,,,,,,"Yes, include my data",,1440,852,10,2,Win32,Tablet,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",5_point
20.11.2025 08:18,20.11.2025 08:33,100,917,TRUE,20.11.2025 08:33,R_8MAP8YKXD00RcO5,25,male,,,,,,,,,,,,,Neutral,Very unpleasant,Very bad,Very positive,Very pleasant,Very bad,Very good,Positive,Very negative,Very positive,Strongly agree,Neutral,"No, exclude my data",,1680,965,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",9_point
20.11.2025 09:17,20.11.2025 09:49,100,1938,TRUE,20.11.2025 09:49,R_88CE063og04ZltL,22,female,Negative,Very unpleasant,Neutral,Very positive,Very pleasant,Very unpleasant,Very good,Very positive,Very negative,Very positive,Strongly agree,Neutral,,,,,,,,,,,,,"Yes, include my data",,1440,900,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",5_point
20.11.2025 22:51,20.11.2025 23:04,100,735,TRUE,20.11.2025 23:04,R_8b4Igf6wERWBJoR,23,Female,,,,,,,,,,,,,Negative,Very unpleasant,Bad,Positive,Pleasant,Very bad,Very good,Very positive,Very negative,Very positive,Strongly agree,Strongly agree,"Yes, include my data",,1470,841,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",9_point
21.11.2025 01:14,21.11.2025 01:15,100,55,TRUE,21.11.2025 01:15,R_8WGDpwLrURJtg2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,752,10,1.5,Win32,Phone,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",
21.11.2025 02:51,21.11.2025 03:17,100,1591,TRUE,21.11.2025 03:17,R_8rrw5CLIYnXr50v,23,F,,,,,,,,,,,,,Somewhat negative,Unpleasant,Neutral,Somewhat positive,Pleasant,Very bad,Somewhat good,Positive,Very negative,Very positive,Agree,Neutral,"Yes, include my data",,1710,992,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",9_point
20.11.2025 07:28,20.11.2025 07:30,14,98,FALSE,21.11.2025 07:30,R_2T3aUgCnPfgr6Vz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,922,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",
21.11.2025 11:38,21.11.2025 11:53,100,914,TRUE,21.11.2025 11:53,R_2hu6FW9f9wCE6g9,21,female,Very negative,Very unpleasant,Very bad,Very positive,Pleasant,Very unpleasant,Good,Positive,Very negative,Very positive,Strongly agree,Disagree,,,,,,,,,,,,,"Yes, include my data",,1440,900,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",5_point
21.11.2025 13:25,21.11.2025 13:48,100,1399,TRUE,21.11.2025 13:48,R_8PTzWa9WsxWqr7j,22,female,Very negative,Very unpleasant,Neutral,Very positive,Very pleasant,Very unpleasant,Good,Very positive,Very negative,Very positive,Strongly agree,Neutral,,,,,,,,,,,,,"Yes, include my data",,1440,900,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",5_point
22.11.2025 06:23,22.11.2025 06:39,100,916,TRUE,22.11.2025 06:39,R_8qqThkzj3iLU7mE,23,female,,,,,,,,,,,,,Positive,Unpleasant,Good,Positive,Pleasant,Very bad,Good,Very positive,Very negative,Very positive,Strongly agree,Neutral,"Yes, include my data",,1710,1068,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",9_point
23.11.2025 00:44,23.11.2025 00:57,100,775,TRUE,23.11.2025 00:57,R_8ds8NOUAbNEvhV2,22,w,,,,,,,,,,,,,Slightly negative,Unpleasant,Neutral,Slightly positive,Pleasant,Very bad,Somewhat good,Very positive,Very negative,Very positive,Strongly agree,Neutral,"Yes, include my data",,1470,919,0,2,MacIntel,PC,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",9_point
23.11.2025 04:08,23.11.2025 04:28,100,1195,TRUE,23.11.2025 04:28,R_8CHzUEEfSvJY3pP,19,female,Negative,Neutral,Bad,Positive,Pleasant,Very unpleasant,Very good,Positive,Negative,Very positive,Agree,Neutral,,,,,,,,,,,,,"Yes, include my data",,1366,1024,5,2,MacIntel,Tablet,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",5_point
